English word,French word,Frequency
carry,porter,81
castle,Château,52
catch,capture,74
cause,cause,336
cease,cesser,42
certain,certain,167
chain,chaîne,66
chair,chaise,40
challenge,défi,47
chamber,chambre,119
chance,chance,103
change,changement,148
charge,charge,197
charity,charité,54
chaste,chaste,37
cheek,joue,79
cheer,acclamation,78
chide,gronder,45
chief,chef,30
child,enfant,227
choice,choix,70
church,église,55
citizen,citoyenne,5
civil,civil,50
claim,prétendre,64
clear,clair,64
close,proche,96
clothes,vêtements,40
clouds,des nuages,57
clown,pitre,16
college,Université,3
colour,Couleur,89
comes,vient,590
comfort,confort,174
coming,venir,145
command,commander,158
commanded,commandé,35
commend,saluer,58
commission,commission,48
commit,commettre,30
common,commun,152
companion,un compagnon,36
company,entreprise,203
complete,Achevée,19
complexion,complexion,40
condition,état,56
conduct,conduite,46
confess,avouer,134
conscience,conscience,119
consent,consentement,88
consider,considérer,45
constable,gendarme,18
constant,constant,48
contempt,mépris,43
content,contenu,141
contrary,contraire,47
copies,copies,4
copyright,droits d'auteur,7
could,pourrait,557
council,conseil,23
counsel,Conseil,131
count,compter,50
counterfeit,contrefaire,53
countess,comtesse,1
country,pays,180
courage,courage,57
course,cours,157
court,tribunal,255
courtesy,courtoisie,64
cousin,cousin,236
coward,lâche,84
crave,demander,41
creature,créature,72
credit,crédit,51
cross,traverser,98
crown,couronne,297
cruel,cruel,71
cunning,ruse,73
curse,malédiction,98
custom,Douane,43
dagger,dague,44
damned,damné,43
dance,Danse,68
danger,danger,99
darkness,obscurité,37
daughter,fille,426
deadly,mortel,50
dearest,très cher,56
dearly,chèrement,41
death,décès,845
deeds,actes,118
defend,défendre,65
degree,diplôme,46
delight,délice,55
deliver,livrer,119
demand,demande,53
denied,refusé,52
depart,partir,62
desert,désert,44
deserve,mériter,59
desire,le désir,209
despair,désespoir,46
desperate,désespéré,50
despite,malgré,44
device,dispositif,43
devil,diable,235
devise,concevoir,46
didst,didst,145
dinner,dîner,92
discourse,discours,58
discover,découvrir,39
disgrace,disgrâce,46
dishonour,déshonorer,48
dispatch,envoi,76
displeasure,mécontentement,41
disposition,disposition,44
distributed,distribué,2
divine,Divin,48
doctor,docteur,34
doing,Faire,67
doors,des portes,61
double,double,83
doubt,doute,162
drawn,tiré,84
dread,crainte,46
dreadful,horrible,59
dream,rêver,126
dreams,rêves,45
drink,boisson,149
drops,gouttes,51
drown,noyer,82
drums,tambours,36
drunk,ivre,68
durst,durst,45
dwell,habiter,40
dying,en train de mourir,45
early,de bonne heure,46
earth,Terre,313
effect,effet,70
either,Soit,115
elbow,coude,19
elder,aîné,43
embrace,embrasse,61
emperor,empereur,17
empty,vide,49
encounter,rencontre,52
endure,supporter,73
enemies,ennemis,111
enemy,ennemi,167
enjoy,prendre plaisir,49
enough,assez,291
enter,entrer,369
entertain,divertir,55
entertainment,divertissement,37
entreat,supplier,106
equal,égal,43
estate,biens,49
eternal,éternel,37
every,chaque,456
everything,tout,41
excellent,excellent,100
except,sauf,22
excuse,excuse,72
execution,exécution,48
exeunt,sortir,7
express,Express,43
faces,visages,53
faint,perdre connaissance,44
fairy,Fée,41
faith,Foi,317
falls,des chutes,67
false,faux,283
familiar,familier,35
fancy,fantaisie,56
farewell,adieu,161
farther,plus loin,42
fashion,mode,110
fatal,fatal,42
father,père,1034
fault,faute,170
favour,favoriser,137
fearful,craintif,90
fears,peurs,74
feast,le banquet,97
feeble,faible,21
fellow,compagnon,306
fetch,chercher,103
field,champ,188
fiend,démon,65
fierce,féroce,37
fiery,ardent,47
fight,bats toi,272
figure,figure,41
finds,trouve,38
finger,doigt,64
first,première,468
flatter,flatter,51
flesh,la chair,137
flies,mouches,56
flight,vol,52
flood,inonder,47
flourish,fleurir,42
flower,fleur,47
flowers,fleurs,46
follow,suivre,281
folly,folie,79
foolish,insensé,95
fools,imbéciles,100
forbear,ancêtre,44
forbid,interdire,70
force,Obliger,103
forces,les forces,42
forest,forêt,61
forget,oublier,90
former,ancien,63
forsooth,en vérité,42
forth,en avant,369
fortune,fortune,263
forward,vers l'avant,87
fought,combattu,65
found,a trouvé,219
fourth,Quatrième,11
frame,Cadre,45
freely,librement,52
fresh,Frais,86
friend,ami,435
frown,froncer les sourcils,51
fruit,fruit,37
further,plus loin,184
gallant,galant,55
garden,jardin,46
gates,portes,101
gaunt,décharné,6
general,général,187
gentle,doux,345
ghost,fantôme,30
given,donné,183
giving,donnant,34
glass,verre,68
glorious,glorieux,41
glory,gloire,86
going,Aller,102
golden,d'or,86
goodness,la bonté,55
grace,la grâce,274
grant,subvention,99
grave,la tombe,182
great,génial,830
green,vert,88
greet,saluer,41
grief,douleur,212
grieve,pleurer,39
gross,brut,55
ground,sol,165
grown,grandi,59
guard,garde,105
guess,devine,50
guilty,coupable,69
habit,habitude,39
hands,mains,319
hanging,pendaison,35
hangs,bloque,34
happiness,bonheur,55
happy,heureux,187
haste,hâte,154
hateful,odieux,39
having,ayant,122
hazard,danger,39
heads,têtes,110
health,santé,91
heard,entendu,339
heart,cœur,1051
heaven,paradis,577
heavy,lourd,167
heels,talons,73
hence,Par conséquent,312
henceforth,désormais,25
hereafter,"ci-après, par la suite",45
herself,se,91
highness,altesse,1
holds,tient,73
hollow,creux,48
honest,honnête,275
horse,cheval,241
hostess,hôtesse,29
hours,heures,139
house,maison,547
humble,humble,72
humour,humour,90
hundred,cent,114
husband,mari,321
ignorant,ignorant,48
image,image,45
includes,comprend,2
indeed,En effet,358
infinite,infini,38
innocent,innocent,50
instant,instant,61
intend,avoir l'intention,51
intent,intention,50
issue,problème,110
itself,lui-même,236
jealous,jaloux,49
jewel,bijou,58
judge,juge,84
judgment,jugement,102
justice,Justice,142
keeps,garde,69
kindness,la gentillesse,51
kingdom,Royaume,101
kings,rois,106
knave,fripon,174
kneel,s'agenouiller,62
knees,les genoux,51
knife,couteau,55
knight,Chevalier,122
knock,frappe,64
knowing,connaissance,32
knowledge,connaissance,76
known,connu,185
knows,sait,205
labour,la main d'oeuvre,92
ladies,Dames,104
ladyship,Madame,43
lands,terres,53
large,grand,69
laugh,rire,110
lawful,légitime,60
learn,apprendre,113
learned,appris,49
least,moins,101
leave,laisser,610
leisure,loisir,63
letter,lettre,245
liberty,liberté,71
library,bibliothèque,3
liege,Liege,140
lieutenant,lieutenant,32
light,lumière,256
limbs,membres,47
little,peu,476
lives,vies,188
living,vivant,120
longer,plus long,106
looks,regards,202
loose,ample,50
lords,seigneurs,329
lordship,seigneurie,124
lovely,charmant,53
lovers,les amoureux,55
loves,aime,194
loving,aimant,117
machine,machine,2
madness,la démence,67
maiden,jeune fille,49
maids,servantes,42
maintain,maintenir,48
majesty,majesté,69
makes,fait du,311
making,fabrication,56
malice,malice,70
manner,manière,81
march,Mars,82
marriage,mariage,117
marry,marier,183
master,Maître,503
match,rencontre,98
matter,matière,354
meaning,sens,55
means,veux dire,261
meant,signifiait,53
measure,mesure,87
meeting,réunion,50
memory,Mémoire,58
merchant,marchande,31
mercy,pitié,171
merit,mérite,51
merry,joyeux,165
messenger,Messager,58
midnight,minuit,41
might,pourrait,453
mighty,puissant,107
minds,esprits,55
minister,ministre,38
mirth,gaieté,51
mischief,sottises,41
misery,misère,37
mistake,erreur,34
mistress,maîtresse,262
modest,modeste,35
money,argent,179
monster,monstre,76
month,mois,44
morning,Matin,130
morrow,demain,326
mortal,mortel,96
mother,mère,399
motion,mouvement,80
mouth,bouche,145
murder,meurtre,57
murther,aller plus loin,45
music,la musique,162
myself,moi même,512
naked,nu,50
names,des noms,49
native,originaire de,43
natural,Naturel,57
nature,la nature,332
needs,Besoins,142
neighbour,voisine,51
neither,ni,155
never,jamais,907
niece,nièce,61
night,nuit,808
noble,noble,588
noise,bruit,107
nothing,rien,541
nought,néant,54
number,nombre,54
nurse,infirmière,73
oaths,serments,68
obedience,obéissance,48
object,objet,39
occasion,occasion,73
offence,infraction,94
offend,offenser,57
offer,offre,104
office,Bureau,127
often,souvent,121
opinion,opinion,81
order,ordre,90
other,autre,687
others,autres,182
ourselves,nous-mêmes,108
outward,vers l'extérieur,50
pains,des douleurs,91
painted,peint,52
painter,peintre,10
palace,palais,151
paper,papier,106
pardon,pardon,243
parted,séparé,44
particular,particulier,54
partly,partiellement,33
parts,les pièces,107
party,fête,51
passage,passage,35
passion,la passion,106
patience,la patience,160
patient,patient,88
peace,paix,396
people,gens,213
perceive,apercevoir,91
perfect,parfait,55
perhaps,peut-être,32
peril,péril,43
permission,autorisation,4
person,la personne,150
personal,personnel,13
picture,image,43
piece,pièce,89
pistol,pistolet,4
place,endroit,450
plague,peste,88
plain,plaine,117
plead,plaider,41
please,S'il vous plaît,334
pleasure,plaisir,179
pluck,cueillir,116
point,point,145
poison,poison,89
policy,politique,45
porter,porter,98
possible,possible,57
pound,livre,54
power,Puissance,302
practice,entraine toi,41
praise,louange,177
prayers,prières,85
precious,précieux,76
prepare,préparer,48
presence,présence,103
present,présent,239
pretty,jolie,109
pride,fierté,106
priest,prêtre,61
prince,prince,119
prison,prison,89
private,privé,66
prize,prix,47
proceed,procéder,47
proclaim,proclamer,50
profit,profit,38
project,projet,12
prologue,prologue,19
promise,promettre,105
proof,preuve,80
proper,correct,62
protector,protecteur,2
protest,manifestation,52
proud,fier,194
prove,prouver,233
provided,à condition de,27
public,Publique,55
purpose,objectif,203
purse,bourse,87
quality,qualité,55
quarrel,querelle,95
queen,reine,189
question,question,148
quick,rapide,101
quiet,silencieux,73
quite,assez,72
quoth,quoth,62
raise,élever,43
ransom,une rançon,59
rascal,coquin,60
rather,plutôt,290
readable,lisible,2
ready,prêt,125
realm,domaine,53
reason,raison,279
receive,recevoir,81
regard,qui concerne,41
reign,règne,46
remain,rester,59
remedy,remède,59
remember,rappelles toi,152
render,rendre,44
repair,réparation,38
repent,se repentir,52
report,rapport,142
reputation,réputation,45
request,demande,67
respect,le respect,100
return,revenir,224
revenge,vengeance,130
reverence,révérence,44
revolt,révolte,41
right,droite,325
rivers,rivières,11
rogue,coquin,79
rotten,pourri,36
rough,rugueux,66
round,rond,72
royal,Royal,205
sacred,sacré,46
safety,sécurité,74
saint,Saint,25
satisfied,satisfait,48
saying,en disant,50
scarce,rare,67
scene,scène,34
scorn,mépris,104
search,chercher,43
season,saison,45
second,seconde,100
secret,secret,65
seeing,voyant,42
senator,sénateur,4
sense,sens,124
sentence,phrase,39
servant,serviteur,148
serve,servir,184
service,un service,221
seven,Sept,64
several,nombreuses,79
shadow,ombre,71
shake,secouer,91
shall,doit,3128
shame,la honte,294
shape,forme,87
sharp,tranchant,67
shepherd,berger,68
shine,éclat,43
shore,rive,49
short,court,103
shortly,prochainement,44
should,devrait,1428
shows,montre,95
sickness,maladie,53
sight,vue,200
silence,silence,62
silver,argent,65
simple,Facile,72
since,depuis,286
single,Célibataire,58
sirrah,sirrah,77
sister,sœur,194
skill,compétence,51
slain,tué,125
slander,calomnie,50
slave,esclave,128
sleep,sommeil,242
slender,mince,10
small,petit,85
smell,odeur,50
smile,sourire,69
soldier,soldat,149
solemn,solennel,38
something,quelque chose,152
sometime,parfois,59
sooner,plus tôt,60
soothsayer,devin,3
sorrow,chagrin,185
sorry,Pardon,88
sought,recherché,35
souls,âmes,110
sound,du son,172
sovereign,souverain,150
spare,de rechange,48
speak,parler,1005
speaks,parle,125
special,spécial,38
speech,discours,128
speed,la vitesse,112
spend,dépenser,67
spirit,esprit,254
spite,dépit,59
spoke,parlait,137
sport,sport,119
spring,printemps,57
staff,Personnel,41
stain,tache,62
stand,supporter,466
stars,étoiles,68
state,Etat,305
steal,voler,78
steel,acier,69
steward,intendant,22
still,encore,499
stomach,estomac,43
stone,calcul,65
stood,se tenait,82
store,boutique,40
storm,orage,52
story,récit,67
straight,tout droit,145
strange,étrange,241
street,rue,79
strength,force,120
strike,la grève,116
stroke,accident vasculaire cérébral,40
strong,fort,190
struck,frappé,73
study,étude,60
stuff,des trucs,63
subject,matière,104
substance,substance,41
success,Succès,44
sudden,soudain,78
suddenly,tout à coup,48
suffer,souffrir,102
summer,été,89
supper,souper,61
surely,sûrement,35
suspect,suspect,35
swear,jurer,241
sweat,transpiration,37
sweet,sucré,664
swift,rapide,67
sword,épée,351
swore,juré,50
sworn,juré,132
table,table,60
tailor,tailleur,35
taken,pris,90
tarry,goudronneux,35
taste,goût,75
taught,enseigné,48
teach,enseigner,91
tears,larmes,274
tedious,fastidieux,44
teeth,les dents,55
tells,raconte,40
tempest,tempête,42
tender,soumissionner,147
terms,termes,74
thank,remercier,280
their,leur,1935
themselves,se,158
there,Là,1501
therefore,par conséquent,363
therein,la bride,47
these,celles-ci,1101
thief,voleur,68
thing,chose,358
think,pense,986
third,troisième,73
those,ceux,467
though,bien que,400
thought,pensée,373
thrive,prospérer,56
throat,gorge,51
throne,trône,67
through,par,227
throw,jeter,90
thrust,poussée,47
thunder,tonnerre,56
times,fois,208
title,Titre,91
together,ensemble,241
tongue,langue,411
tonight,ce soir,47
touch,toucher,156
toward,vers,94
tower,la tour,11
train,train,124
traitor,traitre,131
tread,bande de roulement,41
treason,trahison,84
treasure,Trésor,53
trial,procès,60
tribunes,tribunes,27
trick,tour,53
triumph,triomphe,47
trouble,difficulté,72
truly,vraiment,124
trumpet,trompette,79
trust,confiance,156
truth,vérité,334
turns,se tourne,47
twice,deux fois,62
tyrant,tyran,58
uncle,oncle,191
under,sous,208
understand,comprendre,97
undertake,entreprendre,45
undone,défait,52
unhappy,malheureux,34
unknown,inconnue,41
unless,sauf si,64
until,jusqu'à,41
unworthy,indigne,31
utter,prononcer,41
valiant,vaillant,149
valour,valeur,99
vantage,avantage,40
vengeance,vengeance,178
version,version,1
victory,la victoire,46
villain,scélérat,229
violent,violent,41
virtue,vertu,179
visit,visite,50
voice,voix,157
walls,des murs,84
warlike,guerrier,57
warrant,mandat,175
waste,déchets,43
watch,regarder,135
water,eau,148
wealth,richesse,72
weapons,armes,40
weary,se lasser,73
weeds,mauvaises herbes,42
weeping,larmes,56
weight,poids,44
welcome,Bienvenue,273
wench,jeune fille,62
whence,d'où,58
where,où,684
wherein,où,66
whether,qu'il s'agisse,56
which,lequel,1418
while,tandis que,177
whither,où,38
whole,entier,120
whore,putain,46
whose,dont,383
widow,veuve,70
willing,prêt,36
window,la fenêtre,48
wings,ailes,54
winter,hiver,67
wisdom,sagesse,92
witch,sorcière,43
withal,avec,136
within,dans,340
without,sans pour autant,287
witness,témoin,108
wives,épouses,58
woman,femme,416
wonder,merveille,116
works,travaux,23
world,monde,678
worse,pire,151
worship,culte,104
worth,vaut,201
would,aurait,2027
wound,blessure,70
wounded,blessés,38
wrath,colère,55
wretch,misérable,59
write,écrire,105
written,écrit,34
wrong,faux,272
wrought,forgé,42
yield,rendement,128
yonder,là-bas,59
young,Jeune,406
yours,le tiens,248
yourself,toi même,268
youth,jeunesse,275
